lon,lat,frequency,duration_mean,intensity_mean
95.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
96.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
97.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
98.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
99.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
100.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
101.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
102.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
103.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
104.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
105.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
106.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
107.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
108.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
109.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
110.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
111.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
112.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
113.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
114.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
115.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
116.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
117.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
118.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
119.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
120.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
121.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
122.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
123.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
124.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
125.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
126.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
127.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
128.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
129.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
130.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
131.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
132.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
133.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
134.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
135.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
136.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
137.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
138.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
139.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
140.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
141.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
142.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
143.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
144.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
145.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
146.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
147.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
148.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
149.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
150.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
151.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
152.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
153.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
154.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
155.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
156.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
157.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
158.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
159.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
160.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
161.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
162.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
163.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
164.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
165.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
166.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
167.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
168.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
169.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
170.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
171.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
172.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
173.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
174.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
175.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
176.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
177.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
178.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
179.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
180.0,-90.0,315.0,3.7714285850524902,2.0575664043426514
-180.0,-89.0,,,
-179.0,-89.0,718.0,1.718662977218628,1.6611236333847046
-178.0,-89.0,710.0,1.7690141201019287,1.6553497314453125
-177.0,-89.0,705.0,1.7503546476364136,1.6564375162124634
-176.0,-89.0,723.0,1.7399723529815674,1.6572206020355225
-175.0,-89.0,706.0,1.7478753328323364,1.657871127128601
-174.0,-89.0,713.0,1.7713885307312012,1.6466718912124634
-173.0,-89.0,683.0,1.8140556812286377,1.6587815284729004
-172.0,-89.0,690.0,1.7826087474822998,1.6631239652633667
-171.0,-89.0,693.0,1.7604618072509766,1.6697217226028442
-170.0,-89.0,705.0,1.7602837085723877,1.6609686613082886
-169.0,-89.0,684.0,1.8187134265899658,1.658597707748413
-168.0,-89.0,683.0,1.7862372398376465,1.6544077396392822
-167.0,-89.0,682.0,1.800586462020874,1.6632696390151978
-166.0,-89.0,674.0,1.8249257802963257,1.653489112854004
-165.0,-89.0,684.0,1.824561357498169,1.658248782157898
-164.0,-89.0,678.0,1.812684416770935,1.6556318998336792
-163.0,-89.0,681.0,1.8296622037887573,1.6488302946090698
-162.0,-89.0,675.0,1.8562963008880615,1.6518065929412842
-161.0,-89.0,685.0,1.8335766792297363,1.6436599493026733
-160.0,-89.0,686.0,1.8513119220733643,1.6563564538955688
-159.0,-89.0,671.0,1.8405364751815796,1.6496243476867676
-158.0,-89.0,662.0,1.8489426374435425,1.6638507843017578
-157.0,-89.0,673.0,1.8469539880752563,1.6629443168640137
-156.0,-89.0,689.0,1.8316400051116943,1.6582353115081787
-155.0,-89.0,676.0,1.8579881191253662,1.648427963256836
-154.0,-89.0,673.0,1.881129264831543,1.6519782543182373
-153.0,-89.0,673.0,1.8677563667297363,1.6589546203613281
-152.0,-89.0,674.0,1.851631999015808,1.6580169200897217
-151.0,-89.0,665.0,1.8496240377426147,1.6624276638031006
-150.0,-89.0,676.0,1.8594675064086914,1.6593891382217407
-149.0,-89.0,669.0,1.860986590385437,1.6533805131912231
-148.0,-89.0,664.0,1.8268072605133057,1.659394383430481
-147.0,-89.0,668.0,1.8742514848709106,1.664489984512329
-146.0,-89.0,662.0,1.8595166206359863,1.6641178131103516
-145.0,-89.0,661.0,1.8850226402282715,1.6617236137390137
-144.0,-89.0,655.0,1.9160305261611938,1.6605457067489624
-143.0,-89.0,664.0,1.858433723449707,1.6613044738769531
-142.0,-89.0,664.0,1.8524096012115479,1.6620012521743774
-141.0,-89.0,673.0,1.839524507522583,1.6631269454956055
-140.0,-89.0,667.0,1.8290854692459106,1.663191318511963
-139.0,-89.0,669.0,1.8684604167938232,1.664678692817688
-138.0,-89.0,677.0,1.8286558389663696,1.6674267053604126
-137.0,-89.0,687.0,1.8675400018692017,1.6614490747451782
-136.0,-89.0,675.0,1.795555591583252,1.6786613464355469
-135.0,-89.0,680.0,1.8058823347091675,1.6709566116333008
-134.0,-89.0,692.0,1.8164739608764648,1.6637393236160278
-133.0,-89.0,677.0,1.831610083580017,1.6733514070510864
-132.0,-89.0,674.0,1.8189910650253296,1.6744558811187744
-131.0,-89.0,671.0,1.8494783639907837,1.6797986030578613
-130.0,-89.0,678.0,1.8495575189590454,1.6736739873886108
-129.0,-89.0,691.0,1.8060781955718994,1.674925684928894
-128.0,-89.0,663.0,1.8386123180389404,1.6851881742477417
-127.0,-89.0,671.0,1.8882265090942383,1.6837815046310425
-126.0,-89.0,683.0,1.7950220108032227,1.6891374588012695
-125.0,-89.0,679.0,1.7893961668014526,1.6882431507110596
-124.0,-89.0,684.0,1.7953215837478638,1.6906335353851318
-123.0,-89.0,673.0,1.8098068237304688,1.6903843879699707
-122.0,-89.0,674.0,1.8189910650253296,1.6832275390625
-121.0,-89.0,685.0,1.7985401153564453,1.6936938762664795
-120.0,-89.0,679.0,1.7938144207000732,1.6888012886047363
-119.0,-89.0,674.0,1.8338278532028198,1.684266448020935
-118.0,-89.0,677.0,1.8020679950714111,1.6977074146270752
-117.0,-89.0,683.0,1.8345534801483154,1.7008329629898071
